pintu,bulan,jumlah
Bandara Ngurah Rai,Januari,173867
Bandara Ngurah Rai,Februari,146115
Bandara Ngurah Rai,Maret,167954
Bandara Ngurah Rai,April,188189
Bandara Ngurah Rai,Mei,190638
Bandara Ngurah Rai,Juni,200503
Bandara Ngurah Rai,Juli,234984
Bandara Ngurah Rai,Agustus,232090
Bandara Ngurah Rai,September,218199
Bandara Ngurah Rai,Oktober,221059
Bandara Ngurah Rai,November,184622
Bandara Ngurah Rai,Desember,221604
Bandara Ngurah Rai,Januari,178185
Bandara Ngurah Rai,Februari,191293
Bandara Ngurah Rai,Maret,191125
Bandara Ngurah Rai,April,184230
Bandara Ngurah Rai,Mei,199401
Bandara Ngurah Rai,Juni,225119
Bandara Ngurah Rai,Juli,251834
Bandara Ngurah Rai,Agustus,242987
Bandara Ngurah Rai,September,232336
Bandara Ngurah Rai,Oktober,229651
Bandara Ngurah Rai,November,196856
Bandara Ngurah Rai,Desember,222497
Bandara Ngurah Rai,Januari,208337
Bandara Ngurah Rai,Februari,201457
Bandara Ngurah Rai,Maret,202539
Bandara Ngurah Rai,April,224423
Bandara Ngurah Rai,Mei,208832
Bandara Ngurah Rai,Juni,245248
Bandara Ngurah Rai,Juli,279219
Bandara Ngurah Rai,Agustus,252698
Bandara Ngurah Rai,September,252855
Bandara Ngurah Rai,Oktober,244421
Bandara Ngurah Rai,November,220341
Bandara Ngurah Rai,Desember,248336
Bandara Ngurah Rai,Januari,249728
Bandara Ngurah Rai,Februari,209160
Bandara Ngurah Rai,Maret,222950
Bandara Ngurah Rai,April,222657
Bandara Ngurah Rai,Mei,220508
Bandara Ngurah Rai,Juni,241108
Bandara Ngurah Rai,Juli,271371
Bandara Ngurah Rai,Agustus,253970
Bandara Ngurah Rai,September,255717
Bandara Ngurah Rai,Oktober,252716
Bandara Ngurah Rai,November,237874
Bandara Ngurah Rai,Desember,264366
Bandara Ngurah Rai,Januari,229561
Bandara Ngurah Rai,Februari,236971
Bandara Ngurah Rai,Maret,247024
Bandara Ngurah Rai,April,239400
Bandara Ngurah Rai,Mei,244874
Bandara Ngurah Rai,Juni,275452
Bandara Ngurah Rai,Juli,297723
Bandara Ngurah Rai,Agustus,309051
Bandara Ngurah Rai,September,305429
Bandara Ngurah Rai,Oktober,266453
Bandara Ngurah Rai,November,296990
Bandara Ngurah Rai,Desember,292961
Bandara Ngurah Rai,Januari,278685
Bandara Ngurah Rai,Februari,269367
Bandara Ngurah Rai,Maret,268418
Bandara Ngurah Rai,April,277925
Bandara Ngurah Rai,Mei,285965
Bandara Ngurah Rai,Juni,329654
Bandara Ngurah Rai,Juli,358907
Bandara Ngurah Rai,Agustus,336628
Bandara Ngurah Rai,September,352017
Bandara Ngurah Rai,Oktober,339200
Bandara Ngurah Rai,November,293858
Bandara Ngurah Rai,Desember,341111
Bandara Ngurah Rai,Januari,288755
Bandara Ngurah Rai,Februari,333072
Bandara Ngurah Rai,Maret,294737
Bandara Ngurah Rai,April,309888
Bandara Ngurah Rai,Mei,287141
Bandara Ngurah Rai,Juni,357712
Bandara Ngurah Rai,Juli,381890
Bandara Ngurah Rai,Agustus,298638
Bandara Ngurah Rai,September,379397
Bandara Ngurah Rai,Oktober,366759
Bandara Ngurah Rai,November,262180
Bandara Ngurah Rai,Desember,363780
Bandara Ngurah Rai,Januari,343663
Bandara Ngurah Rai,Februari,367024
Bandara Ngurah Rai,Maret,354778
Bandara Ngurah Rai,April,367370
Bandara Ngurah Rai,Mei,394443
Bandara Ngurah Rai,Juni,405686
Bandara Ngurah Rai,Juli,482201
Bandara Ngurah Rai,Agustus,437929
Bandara Ngurah Rai,September,442304
Bandara Ngurah Rai,Oktober,423140
Bandara Ngurah Rai,November,396150
