,pintu,bulan,jumlah
0,0,4,173867
1,0,3,146115
2,0,7,167954
3,0,1,188189
4,0,8,190638
5,0,6,200503
6,0,5,234984
7,0,0,232090
8,0,11,218199
9,0,10,221059
10,0,9,184622
11,0,2,221604
12,0,4,178185
13,0,3,191293
14,0,7,191125
15,0,1,184230
16,0,8,199401
17,0,6,225119
18,0,5,251834
19,0,0,242987
20,0,11,232336
21,0,10,229651
22,0,9,196856
23,0,2,222497
24,0,4,208337
25,0,3,201457
26,0,7,202539
27,0,1,224423
28,0,8,208832
29,0,6,245248
30,0,5,279219
31,0,0,252698
32,0,11,252855
33,0,10,244421
34,0,9,220341
35,0,2,248336
36,0,4,249728
37,0,3,209160
38,0,7,222950
39,0,1,222657
40,0,8,220508
41,0,6,241108
42,0,5,271371
43,0,0,253970
44,0,11,255717
45,0,10,252716
46,0,9,237874
47,0,2,264366
48,0,4,229561
49,0,3,236971
50,0,7,247024
51,0,1,239400
52,0,8,244874
53,0,6,275452
54,0,5,297723
55,0,0,309051
56,0,11,305429
57,0,10,266453
58,0,9,296990
59,0,2,292961
60,0,4,278685
61,0,3,269367
62,0,7,268418
63,0,1,277925
64,0,8,285965
65,0,6,329654
66,0,5,358907
67,0,0,336628
68,0,11,352017
69,0,10,339200
70,0,9,293858
71,0,2,341111
72,0,4,288755
73,0,3,333072
74,0,7,294737
75,0,1,309888
76,0,8,287141
77,0,6,357712
78,0,5,381890
79,0,0,298638
80,0,11,379397
81,0,10,366759
82,0,9,262180
83,0,2,363780
84,0,4,343663
85,0,3,367024
86,0,7,354778
87,0,1,367370
88,0,8,394443
89,0,6,405686
90,0,5,482201
91,0,0,437929
92,0,11,442304
93,0,10,423140
94,0,9,396150
95,0,2,437946
96,0,4,452660
97,0,3,447762
98,0,7,422757
99,0,1,474338
100,0,8,486207
101,0,6,503617
102,0,5,591812
103,0,0,599827
104,0,11,550238
105,0,10,462263
106,0,9,358012
107,0,2,307321
108,0,4,345191
109,0,3,443805
110,0,7,484846
111,0,1,516143
112,0,8,526281
113,0,6,540462
114,0,5,624337
115,0,0,572027
116,0,11,555888
117,0,10,515859
118,0,9,406679
119,0,2,495641
120,0,4,451708
121,0,3,436266
122,0,7,441707
123,0,1,476104
124,0,8,483928
125,0,6,549483
126,0,5,604310
127,0,0,602457
128,0,11,589984
129,0,10,565966
130,0,9,492904
131,0,2,544726
132,1,4,674
133,1,3,1589
134,1,7,251
135,1,1,587
136,1,8,165
137,1,6,63
138,1,5,214
139,1,0,165
140,1,11,244
141,1,10,223
142,1,9,181
143,1,2,942
144,1,4,1088
145,1,3,633
146,1,7,1454
147,1,1,677
148,1,8,3987
149,1,6,2926
150,1,5,3073
151,1,0,167
152,1,11,8611
153,1,10,253
154,1,9,3005
155,1,2,4754
156,1,4,756
157,1,3,5738
158,1,7,5368
159,1,1,281
160,1,8,226
161,1,6,404
162,1,5,4305
163,1,0,5679
164,1,11,5585
165,1,10,3144
166,1,9,1262
167,1,2,5255
168,1,4,3558
169,1,3,16833
170,1,7,8007
171,1,1,2831
172,1,8,192
173,1,6,2972
174,1,5,141
175,1,0,109
176,1,11,1646
177,1,10,2305
178,1,9,4907
179,1,2,3706
180,1,4,3374
181,1,3,4897
182,1,7,5186
183,1,1,2969
184,1,8,3098
185,1,6,215
186,1,5,155
187,1,0,168
188,1,11,200
189,1,10,109
190,1,9,10286
191,1,2,6052
192,1,4,572
193,1,3,6428
194,1,7,8155
195,1,1,2171
196,1,8,68
197,1,6,742
198,1,5,2159
199,1,0,135
200,1,11,2745
201,1,10,2451
202,1,9,3018
203,1,2,6259
204,1,4,12993
205,1,3,5919
206,1,7,10535
207,1,1,3875
208,1,8,8832
209,1,6,1990
210,1,5,793
211,1,0,4983
212,1,11,9663
213,1,10,2688
214,1,9,8755
215,1,2,6860
216,1,4,6929
217,1,3,8720
218,1,7,9335
219,1,1,13397
220,1,8,114
221,1,6,149
222,1,5,2030
223,1,0,206
224,1,11,3412
225,1,10,9075
226,1,9,17082
227,1,2,4854
228,1,4,8164
229,1,3,6223
230,1,7,2742
231,1,1,3126
232,1,8,3169
233,1,6,524
234,1,5,234
235,1,0,2057
236,1,11,282
237,1,10,2822
238,1,9,2994
239,1,2,8588
240,1,4,12874
241,1,3,8618
242,1,7,7832
243,1,1,634
244,1,8,2231
245,1,6,4088
246,1,5,29
247,1,0,1739
248,1,11,15
249,1,10,2030
250,1,9,46
251,1,2,3178
252,1,4,3862
253,1,3,1190
254,1,7,7862
255,1,1,965
256,1,8,2674
257,1,6,33
258,1,5,13
259,1,0,3955
260,1,11,414
261,1,10,2001
262,1,9,5021
263,1,2,7677
